Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2020,202002,February 2020,2,0,2,Exports,807,TFYR of Macedonia,,0,World,,,,,,,,,74,Copper and articles thereof,,,,,,,0,,740983,,,0
HS,2020,202003,March 2020,2,0,2,Exports,604,Peru,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0,,7408202,,,0
HS,2020,202003,March 2020,2,0,2,Exports,604,Peru,,0,World,,,,,,,,,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",,,,,,,0,,854525,,,0
HS,2020,202003,March 2020,2,0,2,Exports,604,Peru,,0,World,,,,,,,,,74,Copper and articles thereof,,,,,,,0,,65961186,,,0
HS,2020,202002,February 2020,2,0,2,Exports,392,Japan,,0,World,,,,,,,,,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",,,,,,,0,,193693783,,,0
HS,2020,202002,February 2020,2,0,2,Exports,392,Japan,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0,,2143400851,,,0
HS,2020,202002,February 2020,2,0,2,Exports,392,Japan,,0,World,,,,,,,,,74,Copper and articles thereof,,,,,,,0,,718220351,,,0
HS,2020,202002,February 2020,2,0,2,Exports,372,Ireland,,0,World,,,,,,,,,74,Copper and articles thereof,,,,,,,0,,4530892,,,0
HS,2020,202002,February 2020,2,0,2,Exports,372,Ireland,,0,World,,,,,,,,,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",,,,,,,0,,13085430,,,0
HS,2020,202002,February 2020,2,0,2,Exports,372,Ireland,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0,,21035937,,,0
HS,2020,202004,April 2020,2,0,2,Exports,300,Greece,,0,World,,,,,,,,,74,Copper and articles thereof,,,,,,,0,,46319430,,,0
HS,2020,202004,April 2020,2,0,2,Exports,300,Greece,,0,World,,,,,,,,,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",,,,,,,0,,13939691,,,0
HS,2020,202004,April 2020,2,0,2,Exports,300,Greece,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0,,24384590,,,0
HS,2020,202006,June 2020,2,0,2,Exports,826,United Kingdom,,0,World,,,,,,,,,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",,,,,,,0,,66967263,,,0
HS,2020,202006,June 2020,2,0,2,Exports,826,United Kingdom,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0,,414146590,,,0
HS,2020,202005,May 2020,2,0,2,Exports,757,Switzerland,,0,World,,,,,,,,,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",,,,,,,0,,27121328,,,0
HS,2020,202005,May 2020,2,0,2,Exports,757,Switzerland,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0,,66584599,,,0
HS,2020,202005,May 2020,2,0,2,Exports,757,Switzerland,,0,World,,,,,,,,,74,Copper and articles thereof,,,,,,,0,,38420838,,,0
HS,2020,202003,March 2020,2,0,2,Exports,792,Turkey,,0,World,,,,,,,,,74,Copper and articles thereof,,,,,,,,,122581407,,,0
HS,2020,202003,March 2020,2,0,2,Exports,792,Turkey,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0,,669076576,,,0
HS,2020,202004,April 2020,2,0,2,Exports,97,EU-28,,0,World,,,,,,,,,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",,,,,,,0,,451510049,,,0
HS,2020,202004,April 2020,2,0,2,Exports,97,EU-28,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0,,1855783870,,,0
