,Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
59,HS,2020,202001,January 2020,2,0,2,Exports,56,Belgium,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,1136195448,,,0
60,HS,2020,202002,February 2020,2,0,1,Imports,56,Belgium,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,638805812,,,0
61,HS,2020,202002,February 2020,2,0,2,Exports,56,Belgium,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,1016420964,,,0
62,HS,2020,202004,April 2020,2,0,1,Imports,56,Belgium,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,567368861,,,0
63,HS,2020,202004,April 2020,2,0,2,Exports,56,Belgium,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,640346830,,,0
64,HS,2020,202005,May 2020,2,0,1,Imports,56,Belgium,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,517043981,,,0
65,HS,2020,202005,May 2020,2,0,2,Exports,56,Belgium,,0,World,,,,,,,,,72,Iron and steel,,,,,,,,,713090745,,,0
66,HS,2020,202006,June 2020,2,0,1,Imports,56,Belgium,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,617585110,,,0
67,HS,2020,202006,June 2020,2,0,2,Exports,56,Belgium,,0,World,,,,,,,,,72,Iron and steel,,,,,,,,,804877587,,,0
68,HS,2020,202001,January 2020,2,0,1,Imports,76,Brazil,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,193294208,,,0
69,HS,2020,202001,January 2020,2,0,2,Exports,76,Brazil,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,735049821,,,0
70,HS,2020,202001,January 2020,2,0,4,Re-imports,76,Brazil,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,31230,,,0
71,HS,2020,202002,February 2020,2,0,1,Imports,76,Brazil,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,118040485,,,0
72,HS,2020,202002,February 2020,2,0,2,Exports,76,Brazil,,0,World,,,,,,,,,72,Iron and steel,,,,,,,,,690785981,,,0
73,HS,2020,202002,February 2020,2,0,4,Re-imports,76,Brazil,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,20965,,,0
74,HS,2020,202003,March 2020,2,0,1,Imports,76,Brazil,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,142369305,,,0
75,HS,2020,202003,March 2020,2,0,2,Exports,76,Brazil,,0,World,,,,,,,,,72,Iron and steel,,,,,,,,,1038723945,,,0
76,HS,2020,202003,March 2020,2,0,4,Re-imports,76,Brazil,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,87069,,,0
77,HS,2020,202004,April 2020,2,0,1,Imports,76,Brazil,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,150417972,,,0
78,HS,2020,202004,April 2020,2,0,2,Exports,76,Brazil,,0,World,,,,,,,,,72,Iron and steel,,,,,,,,,763001403,,,0
79,HS,2020,202004,April 2020,2,0,4,Re-imports,76,Brazil,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,14281,,,0
80,HS,2020,202001,January 2020,2,0,1,Imports,84,Belize,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,2225254,,,0
81,HS,2020,202001,January 2020,2,0,2,Exports,84,Belize,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,77336,,,0
82,HS,2020,202002,February 2020,2,0,1,Imports,84,Belize,,0,World,,,,,,,,,72,Iron and steel,,,,,,,,,1336417,,,0
83,HS,2020,202002,February 2020,2,0,2,Exports,84,Belize,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,86009,,,0
84,HS,2020,202002,February 2020,2,0,3,Re-exports,84,Belize,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,10,,,0
85,HS,2020,202003,March 2020,2,0,1,Imports,84,Belize,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,1531853,,,0
86,HS,2020,202003,March 2020,2,0,2,Exports,84,Belize,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,120457,,,0
87,HS,2020,202004,April 2020,2,0,1,Imports,84,Belize,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,1213086,,,0
88,HS,2020,202004,April 2020,2,0,2,Exports,84,Belize,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,26261,,,0
89,HS,2020,202005,May 2020,2,0,1,Imports,84,Belize,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,1210119,,,0
90,HS,2020,202005,May 2020,2,0,2,Exports,84,Belize,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,63451,,,0
91,HS,2020,202006,June 2020,2,0,1,Imports,84,Belize,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,1111888,,,0
92,HS,2020,202006,June 2020,2,0,2,Exports,84,Belize,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,58419,,,0
93,HS,2020,202007,July 2020,2,0,1,Imports,84,Belize,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,1191819,,,0
94,HS,2020,202007,July 2020,2,0,2,Exports,84,Belize,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,77134,,,0
95,HS,2020,202008,August 2020,2,0,1,Imports,84,Belize,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,1759554,,,0
96,HS,2020,202008,August 2020,2,0,2,Exports,84,Belize,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,68270,,,0
97,HS,2020,202001,January 2020,2,0,1,Imports,97,EU-28,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,2812842672,,,0
98,HS,2020,202001,January 2020,2,0,2,Exports,97,EU-28,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,2363805975,,,0
99,HS,2020,202002,February 2020,2,0,1,Imports,97,EU-28,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,2447621471,,,0
100,HS,2020,202002,February 2020,2,0,2,Exports,97,EU-28,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,2430696486,,,0
101,HS,2020,202003,March 2020,2,0,1,Imports,97,EU-28,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,2421386681,,,0
102,HS,2020,202003,March 2020,2,0,2,Exports,97,EU-28,,0,World,,,,,,,,,72,Iron and steel,,,,,,,,,2310883658,,,0
103,HS,2020,202004,April 2020,2,0,1,Imports,97,EU-28,,0,World,,,,,,,,,72,Iron and steel,,,,,,,,,2472713846,,,0
104,HS,2020,202004,April 2020,2,0,2,Exports,97,EU-28,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,1855783870,,,0
105,HS,2020,202005,May 2020,2,0,1,Imports,97,EU-28,,0,World,,,,,,,,,72,Iron and steel,,,,,,,,,1983948710,,,0
106,HS,2020,202005,May 2020,2,0,2,Exports,97,EU-28,,0,World,,,,,,,,,72,Iron and steel,,,,,,,,,1756588281,,,0
107,HS,2020,202006,June 2020,2,0,1,Imports,97,EU-28,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,1971932577,,,0
108,HS,2020,202006,June 2020,2,0,2,Exports,97,EU-28,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,1961526275,,,0
109,HS,2020,202001,January 2020,2,0,1,Imports,100,Bulgaria,,0,World,,,,,,,,,72,Iron and steel,,,,,,,,,116306887,,,0
110,HS,2020,202001,January 2020,2,0,2,Exports,100,Bulgaria,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,52045162,,,0
111,HS,2020,202002,February 2020,2,0,1,Imports,100,Bulgaria,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,103110676,,,0
112,HS,2020,202002,February 2020,2,0,2,Exports,100,Bulgaria,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,59418926,,,0
113,HS,2020,202003,March 2020,2,0,1,Imports,100,Bulgaria,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,103228070,,,0
114,HS,2020,202003,March 2020,2,0,2,Exports,100,Bulgaria,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,59223197,,,0
115,HS,2020,202001,January 2020,2,0,1,Imports,112,Belarus,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,115712100,,,0
116,HS,2020,202001,January 2020,2,0,2,Exports,112,Belarus,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,84126500,,,0
117,HS,2020,202002,February 2020,2,0,1,Imports,112,Belarus,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,125562400,,,0
118,HS,2020,202002,February 2020,2,0,2,Exports,112,Belarus,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,79871900,,,0
119,HS,2020,202005,May 2020,2,0,1,Imports,112,Belarus,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,102686600,,,0
120,HS,2020,202005,May 2020,2,0,2,Exports,112,Belarus,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,64409000,,,0
121,HS,2020,202006,June 2020,2,0,1,Imports,112,Belarus,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,109191000,,,0
122,HS,2020,202006,June 2020,2,0,2,Exports,112,Belarus,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,64283800,,,0
123,HS,2020,202001,January 2020,2,0,1,Imports,124,Canada,,0,World,,,,,,,,,72,Iron and steel,,,,,,,,,517412969,,,0
124,HS,2020,202001,January 2020,2,0,2,Exports,124,Canada,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,521850065,,,0
125,HS,2020,202001,January 2020,2,0,3,Re-exports,124,Canada,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,9281855,,,0
126,HS,2020,202001,January 2020,2,0,4,Re-imports,124,Canada,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,4127010,,,0
127,HS,2020,202002,February 2020,2,0,1,Imports,124,Canada,,0,World,,,,,,,,,72,Iron and steel,,,,,,,,,433148280,,,0
128,HS,2020,202002,February 2020,2,0,2,Exports,124,Canada,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,475203750,,,0
129,HS,2020,202002,February 2020,2,0,3,Re-exports,124,Canada,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,9459523,,,0
130,HS,2020,202002,February 2020,2,0,4,Re-imports,124,Canada,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,4365687,,,0
131,HS,2020,202003,March 2020,2,0,1,Imports,124,Canada,,0,World,,,,,,,,,72,Iron and steel,,,,,,,,,454971282,,,0
132,HS,2020,202003,March 2020,2,0,2,Exports,124,Canada,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,555194352,,,0
133,HS,2020,202003,March 2020,2,0,3,Re-exports,124,Canada,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,9290078,,,0
134,HS,2020,202003,March 2020,2,0,4,Re-imports,124,Canada,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,4335449,,,0
135,HS,2020,202004,April 2020,2,0,1,Imports,124,Canada,,0,World,,,,,,,,,72,Iron and steel,,,,,,,,,396401684,,,0
136,HS,2020,202004,April 2020,2,0,2,Exports,124,Canada,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,326061991,,,0
137,HS,2020,202004,April 2020,2,0,3,Re-exports,124,Canada,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,4225359,,,0
138,HS,2020,202004,April 2020,2,0,4,Re-imports,124,Canada,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,2980164,,,0
139,HS,2020,202005,May 2020,2,0,1,Imports,124,Canada,,0,World,,,,,,,,,72,Iron and steel,,,,,,,,,345602881,,,0
140,HS,2020,202005,May 2020,2,0,2,Exports,124,Canada,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,310537561,,,0
141,HS,2020,202005,May 2020,2,0,3,Re-exports,124,Canada,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,5497411,,,0
142,HS,2020,202005,May 2020,2,0,4,Re-imports,124,Canada,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,3088852,,,0
143,HS,2020,202006,June 2020,2,0,1,Imports,124,Canada,,0,World,,,,,,,,,72,Iron and steel,,,,,,,,,384405411,,,0
144,HS,2020,202006,June 2020,2,0,2,Exports,124,Canada,,0,World,,,,,,,,,72,Iron and steel,,,,,,,0.0,,395409731,,,0
