"","classification","year","period","period_desc","aggregate_level","is_leaf_code","trade_flow_code","trade_flow","reporter_code","reporter","reporter_iso","partner_code","partner","partner_iso","second_partner_code","second_partner","second_partner_iso","customs_proc_code","customs","mode_of_transport_code","mode_of_transport","commodity_code","commodity","qty_unit_code","qty_unit","alt_qty_unit_code","alt_qty_unit","qty","alt_qty","netweight_kg","gross_weight_kg","trade_value_usd","cif_trade_value_usd","fob_trade_value_usd","flag"
"1296","H5",2018,2018,"2018",2,0,1,"Import",246,"Finland","FIN",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"76","Aluminium and articles thereof",1,"No Quantity",NA,NA,0,NA,NA,NA,613523700,NA,NA,4
"1297","H5",2018,2018,"2018",2,0,1,"Import",251,"France","FRA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"76","Aluminium and articles thereof",1,"No Quantity",NA,NA,0,NA,NA,NA,7507421432,NA,NA,4
"1298","H5",2018,2018,"2018",2,0,1,"Import",276,"Germany","DEU",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"76","Aluminium and articles thereof",1,"No Quantity",NA,NA,0,NA,NA,NA,19824452117,NA,NA,4
"1299","H5",2018,2018,"2018",2,0,1,"Import",288,"Ghana","GHA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"76","Aluminium and articles thereof",1,"No Quantity",NA,NA,0,NA,0,NA,121423214,NA,NA,0
"1300","H5",2018,2018,"2018",2,0,1,"Import",300,"Greece","GRC",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"76","Aluminium and articles thereof",1,"No Quantity",NA,NA,0,NA,0,NA,1290104734,NA,NA,4
"1301","H5",2018,2018,"2018",2,0,1,"Import",304,"Greenland","GRL",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"76","Aluminium and articles thereof",1,"No Quantity",NA,NA,0,NA,0,NA,5726120,NA,NA,4
"1302","H5",2018,2018,"2018",2,0,1,"Import",344,"China, Hong Kong SAR","HKG",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"76","Aluminium and articles thereof",1,"No Quantity",NA,NA,0,NA,0,NA,911331982,NA,NA,4
"1303","H5",2018,2018,"2018",2,0,1,"Import",348,"Hungary","HUN",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"76","Aluminium and articles thereof",1,"No Quantity",NA,NA,0,NA,0,NA,2403620469,NA,NA,4
"1304","H5",2018,2018,"2018",2,0,1,"Import",352,"Iceland","ISL",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"76","Aluminium and articles thereof",1,"No Quantity",NA,NA,0,NA,0,NA,139561278,NA,NA,4
"1305","H5",2018,2018,"2018",2,0,1,"Import",360,"Indonesia","IDN",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"76","Aluminium and articles thereof",1,"No Quantity",NA,NA,0,NA,0,NA,2172791978,NA,NA,4
"1306","H5",2018,2018,"2018",2,0,1,"Import",372,"Ireland","IRL",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"76","Aluminium and articles thereof",1,"No Quantity",NA,NA,0,NA,0,NA,428058981,NA,NA,4
"1307","H5",2018,2018,"2018",2,0,1,"Import",376,"Israel","ISR",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"76","Aluminium and articles thereof",1,"No Quantity",NA,NA,0,NA,0,NA,647106000,NA,NA,4
"1308","H5",2018,2018,"2018",2,0,1,"Import",381,"Italy","ITA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"76","Aluminium and articles thereof",1,"No Quantity",NA,NA,0,NA,0,NA,7038607500,NA,NA,4
"1309","H5",2018,2018,"2018",2,0,1,"Import",384,"Côte d'Ivoire","CIV",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"76","Aluminium and articles thereof",1,"No Quantity",NA,NA,0,NA,0,NA,121458660,NA,NA,4
"1310","H5",2018,2018,"2018",2,0,1,"Import",392,"Japan","JPN",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"76","Aluminium and articles thereof",1,"No Quantity",NA,NA,0,NA,0,NA,9339232431,NA,NA,4
"1311","H5",2018,2018,"2018",2,0,1,"Import",398,"Kazakhstan","KAZ",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"76","Aluminium and articles thereof",1,"No Quantity",NA,NA,0,NA,0,NA,271647870,NA,NA,4
"1312","H5",2018,2018,"2018",2,0,1,"Import",400,"Jordan","JOR",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"76","Aluminium and articles thereof",1,"No Quantity",NA,NA,0,NA,0,NA,198213544,NA,NA,0
