,Reporter,Year,Period,Aggregate Level,Is Leaf Code,Trade Flow Code,Reporter Code,Reporter ISO,Partner Code,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
32,Ireland,32320,3232065,32,0,29,5952,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,477381618,0.0,0.0,0
33,Israel,28280,2828056,28,0,21,5264,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,926166000,0.0,0.0,0
34,Italy,32320,3232040,32,0,40,6096,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8761820970,0.0,0.0,0
35,Japan,28280,2828056,28,0,21,5488,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17091792499,0.0,0.0,0
36,Kyrgyzstan,28280,2828056,28,0,21,5838,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72243788,0.0,0.0,0
37,Latvia,20200,2020034,20,0,15,4280,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,472322773,0.0,0.0,0
38,Lithuania,28280,2828066,28,0,21,6160,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,705089362,0.0,0.0,0
39,Luxembourg,54540,5454106,54,0,67,11934,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1389261419,0.0,0.0,0
40,Madagascar,12120,1212012,12,0,9,2700,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20923692,0.0,0.0,0
41,Mauritius,12120,1212030,12,0,9,2880,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21310912,0.0,0.0,0
42,Mexico,28280,2828056,28,0,21,6776,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6460520803,0.0,0.0,0
43,Montenegro,30300,3030059,30,0,25,7485,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43178232,0.0,0.0,0
44,Morocco,8080,808006,8,0,6,2016,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253100671,0.0,0.0,0
45,Namibia,36360,3636053,36,0,42,9288,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50553275,0.0,0.0,0
46,Netherlands,20200,2020034,20,0,15,5280,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7742921928,0.0,0.0,0
