"","classification","year","period","period_desc","aggregate_level","is_leaf_code","trade_flow_code","trade_flow","reporter_code","reporter","reporter_iso","partner_code","partner","partner_iso","second_partner_code","second_partner","second_partner_iso","customs_proc_code","customs","mode_of_transport_code","mode_of_transport","commodity_code","commodity","qty_unit_code","qty_unit","alt_qty_unit_code","alt_qty_unit","qty","alt_qty","netweight_kg","gross_weight_kg","trade_value_usd","cif_trade_value_usd","fob_trade_value_usd","flag"
"33","H5",2017,2017,"2017",2,0,2,"Export",246,"Finland","FIN",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"68","Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",1,"No Quantity",NA,NA,0,NA,0,NA,283396075,NA,NA,4
"34","H5",2017,2017,"2017",2,0,2,"Export",251,"France","FRA",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"68","Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",1,"No Quantity",NA,NA,0,NA,0,NA,1190741428,NA,NA,4
"35","H5",2017,2017,"2017",2,0,2,"Export",276,"Germany","DEU",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"68","Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",1,"No Quantity",NA,NA,0,NA,0,NA,5196148201,NA,NA,4
"36","H5",2017,2017,"2017",2,0,2,"Export",300,"Greece","GRC",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"68","Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",1,"No Quantity",NA,NA,0,NA,0,NA,244068035,NA,NA,4
"37","H5",2017,2017,"2017",2,0,2,"Export",304,"Greenland","GRL",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"68","Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",1,"No Quantity",NA,NA,0,NA,0,NA,39440,NA,NA,0
"38","H5",2017,2017,"2017",2,0,2,"Export",320,"Guatemala","GTM",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"68","Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",1,"No Quantity",NA,NA,0,NA,0,NA,3586531,NA,NA,0
"39","H5",2017,2017,"2017",2,0,2,"Export",340,"Honduras","HND",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"68","Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",1,"No Quantity",NA,NA,0,NA,0,NA,16671647,NA,NA,4
"40","H5",2017,2017,"2017",2,0,2,"Export",344,"China, Hong Kong SAR","HKG",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"68","Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",1,"No Quantity",NA,NA,0,NA,0,NA,156415806,NA,NA,4
"41","H5",2017,2017,"2017",2,0,2,"Export",348,"Hungary","HUN",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"68","Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",1,"No Quantity",NA,NA,0,NA,0,NA,416375580,NA,NA,4
"42","H5",2017,2017,"2017",2,0,2,"Export",352,"Iceland","ISL",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"68","Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",1,"No Quantity",NA,NA,0,NA,0,NA,2568700,NA,NA,4
